source_speaker,target_speaker,loss,ref_file,gen_file,score
p225,p226,adv,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_adv_0.wav,0.70731
p225,p226,adv,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_adv_1.wav,0.77139
p225,p226,adv,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_adv_2.wav,0.70102
p225,p226,adv,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_adv_3.wav,0.77039
p225,p226,adv,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_adv_4.wav,0.74844
p225,p226,adv,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_adv_5.wav,0.74858
p225,p226,adv,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_adv_6.wav,0.75125
p225,p226,adv,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_adv_7.wav,0.75736
p225,p226,adv,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_adv_8.wav,0.77893
p225,p226,adv,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_adv_9.wav,0.79439
p225,p226,all,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_all_in_one_0.wav,0.70617
p225,p226,all,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_all_in_one_1.wav,0.71454
p225,p226,all,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_all_in_one_2.wav,0.65607
p225,p226,all,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_all_in_one_3.wav,0.71459
p225,p226,all,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_all_in_one_4.wav,0.70006
p225,p226,all,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_all_in_one_5.wav,0.72202
p225,p226,all,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_all_in_one_6.wav,0.66624
p225,p226,all,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_all_in_one_7.wav,0.66952
p225,p226,all,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_all_in_one_8.wav,0.69484
p225,p226,all,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_all_in_one_9.wav,0.7208
p225,p226,asr,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_0.wav,0.54734
p225,p226,asr,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_1.wav,0.60231
p225,p226,asr,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_2.wav,0.61069
p225,p226,asr,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_3.wav,0.58062
p225,p226,asr,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_4.wav,0.55178
p225,p226,asr,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_5.wav,0.57895
p225,p226,asr,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_6.wav,0.64376
p225,p226,asr,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_7.wav,0.69239
p225,p226,asr,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_8.wav,0.60516
p225,p226,asr,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_9.wav,0.57918
p225,p226,asr_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_cyc_0.wav,0.71272
p225,p226,asr_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_cyc_1.wav,0.78258
p225,p226,asr_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_cyc_2.wav,0.73352
p225,p226,asr_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_cyc_3.wav,0.75786
p225,p226,asr_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_cyc_4.wav,0.72261
p225,p226,asr_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_cyc_5.wav,0.80772
p225,p226,asr_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_cyc_6.wav,0.75218
p225,p226,asr_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_cyc_7.wav,0.76855
p225,p226,asr_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_cyc_8.wav,0.76469
p225,p226,asr_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_asr_cyc_9.wav,0.77051
p225,p226,norm,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_0.wav,0.72374
p225,p226,norm,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_1.wav,0.70177
p225,p226,norm,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_2.wav,0.6797
p225,p226,norm,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_3.wav,0.72491
p225,p226,norm,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_4.wav,0.72991
p225,p226,norm,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_5.wav,0.67613
p225,p226,norm,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_6.wav,0.70198
p225,p226,norm,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_7.wav,0.7345
p225,p226,norm,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_8.wav,0.68293
p225,p226,norm,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_9.wav,0.73181
p225,p226,norm_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_cyc_0.wav,0.70623
p225,p226,norm_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_cyc_1.wav,0.68917
p225,p226,norm_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_cyc_2.wav,0.64901
p225,p226,norm_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_cyc_3.wav,0.69481
p225,p226,norm_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_cyc_4.wav,0.67786
p225,p226,norm_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_cyc_5.wav,0.72203
p225,p226,norm_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_cyc_6.wav,0.67417
p225,p226,norm_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_cyc_7.wav,0.65543
p225,p226,norm_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_cyc_8.wav,0.69662
p225,p226,norm_cyc,../project_data/source/p225/35.wav,../project_data/converted/p225/converted_a_norm_cyc_9.wav,0.73826
p226,p225,adv,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_adv_0.wav,0.78336
p226,p225,adv,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_adv_1.wav,0.79955
p226,p225,adv,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_adv_2.wav,0.74094
p226,p225,adv,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_adv_3.wav,0.75704
p226,p225,adv,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_adv_4.wav,0.73541
p226,p225,adv,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_adv_5.wav,0.7837
p226,p225,adv,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_adv_6.wav,0.81374
p226,p225,adv,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_adv_7.wav,0.73521
p226,p225,adv,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_adv_8.wav,0.73008
p226,p225,adv,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_adv_9.wav,0.6638
p226,p225,all,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_all_in_one_0.wav,0.67893
p226,p225,all,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_all_in_one_1.wav,0.6541
p226,p225,all,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_all_in_one_2.wav,0.70082
p226,p225,all,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_all_in_one_3.wav,0.6981
p226,p225,all,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_all_in_one_4.wav,0.61456
p226,p225,all,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_all_in_one_5.wav,0.68011
p226,p225,all,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_all_in_one_6.wav,0.71255
p226,p225,all,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_all_in_one_7.wav,0.64972
p226,p225,all,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_all_in_one_8.wav,0.62641
p226,p225,all,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_all_in_one_9.wav,0.56576
p226,p225,asr,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_0.wav,0.56467
p226,p225,asr,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_1.wav,0.56747
p226,p225,asr,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_2.wav,0.56712
p226,p225,asr,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_3.wav,0.59255
p226,p225,asr,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_4.wav,0.5565
p226,p225,asr,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_5.wav,0.63085
p226,p225,asr,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_6.wav,0.57203
p226,p225,asr,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_7.wav,0.59007
p226,p225,asr,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_8.wav,0.50877
p226,p225,asr,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_9.wav,0.49602
p226,p225,asr_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_cyc_0.wav,0.79406
p226,p225,asr_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_cyc_1.wav,0.73341
p226,p225,asr_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_cyc_2.wav,0.77366
p226,p225,asr_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_cyc_3.wav,0.80181
p226,p225,asr_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_cyc_4.wav,0.76223
p226,p225,asr_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_cyc_5.wav,0.794
p226,p225,asr_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_cyc_6.wav,0.79705
p226,p225,asr_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_cyc_7.wav,0.70456
p226,p225,asr_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_cyc_8.wav,0.74592
p226,p225,asr_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_asr_cyc_9.wav,0.64133
p226,p225,norm,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_0.wav,0.71947
p226,p225,norm,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_1.wav,0.6988
p226,p225,norm,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_2.wav,0.69099
p226,p225,norm,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_3.wav,0.70951
p226,p225,norm,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_4.wav,0.6748
p226,p225,norm,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_5.wav,0.69318
p226,p225,norm,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_6.wav,0.73542
p226,p225,norm,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_7.wav,0.71006
p226,p225,norm,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_8.wav,0.63371
p226,p225,norm,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_9.wav,0.58366
p226,p225,norm_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_cyc_0.wav,0.6792
p226,p225,norm_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_cyc_1.wav,0.6646
p226,p225,norm_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_cyc_2.wav,0.7016
p226,p225,norm_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_cyc_3.wav,0.68111
p226,p225,norm_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_cyc_4.wav,0.63587
p226,p225,norm_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_cyc_5.wav,0.69153
p226,p225,norm_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_cyc_6.wav,0.68386
p226,p225,norm_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_cyc_7.wav,0.62736
p226,p225,norm_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_cyc_8.wav,0.59749
p226,p225,norm_cyc,../project_data/source/p226/124.wav,../project_data/converted/p226/converted_b_norm_cyc_9.wav,0.55187
