source_speaker,target_speaker,ref_file,gen_file,score
p225,p226,data/data/p225-test/19.wav,data/converted_sound/p225/1.wav,0.53
p225,p226,data/data/p225-test/19.wav,data/converted_sound/p225/10.wav,0.95
p225,p226,data/data/p225-test/19.wav,data/converted_sound/p225/11.wav,0.53
p225,p226,data/data/p225-test/19.wav,data/converted_sound/p225/12.wav,0.95
p225,p226,data/data/p225-test/19.wav,data/converted_sound/p225/13.wav,0.73
p225,p226,data/data/p225-test/19.wav,data/converted_sound/p225/14.wav,0.43
p225,p226,data/data/p225-test/19.wav,data/converted_sound/p225/15.wav,0.49
p225,p226,data/data/p225-test/19.wav,data/converted_sound/p225/16.wav,0.97
p225,p226,data/data/p225-test/19.wav,data/converted_sound/p225/17.wav,0.52
p225,p226,data/data/p225-test/19.wav,data/converted_sound/p225/18.wav,0.47
p226,p225,data/data/p226-test/108.wav,data/converted_sound/p226/1.wav,0.0
p226,p225,data/data/p226-test/108.wav,data/converted_sound/p226/10.wav,0.48
p226,p225,data/data/p226-test/108.wav,data/converted_sound/p226/100.wav,0.97
p226,p225,data/data/p226-test/108.wav,data/converted_sound/p226/101.wav,0.49
p226,p225,data/data/p226-test/108.wav,data/converted_sound/p226/102.wav,0.64
p226,p225,data/data/p226-test/108.wav,data/converted_sound/p226/103.wav,0.44
p226,p225,data/data/p226-test/108.wav,data/converted_sound/p226/104.wav,0.31
p226,p225,data/data/p226-test/108.wav,data/converted_sound/p226/105.wav,0.03
p226,p225,data/data/p226-test/108.wav,data/converted_sound/p226/106.wav,0.11
p226,p225,data/data/p226-test/108.wav,data/converted_sound/p226/107.wav,0.51
p227,p228,data/data/p227-test/108.wav,data/converted_sound/p227/1.wav,0.42
p227,p228,data/data/p227-test/108.wav,data/converted_sound/p227/10.wav,0.47
p227,p228,data/data/p227-test/108.wav,data/converted_sound/p227/100.wav,0.52
p227,p228,data/data/p227-test/108.wav,data/converted_sound/p227/101.wav,0.93
p227,p228,data/data/p227-test/108.wav,data/converted_sound/p227/102.wav,0.86
p227,p228,data/data/p227-test/108.wav,data/converted_sound/p227/103.wav,0.04
p227,p228,data/data/p227-test/108.wav,data/converted_sound/p227/104.wav,0.23
p227,p228,data/data/p227-test/108.wav,data/converted_sound/p227/105.wav,0.69
p227,p228,data/data/p227-test/108.wav,data/converted_sound/p227/106.wav,0.79
p227,p228,data/data/p227-test/108.wav,data/converted_sound/p227/107.wav,0.66
p228,p227,data/data/p228-test/108.wav,data/converted_sound/p228/1.wav,0.72
p228,p227,data/data/p228-test/108.wav,data/converted_sound/p228/10.wav,0.24
p228,p227,data/data/p228-test/108.wav,data/converted_sound/p228/100.wav,0.5
p228,p227,data/data/p228-test/108.wav,data/converted_sound/p228/101.wav,0.11
p228,p227,data/data/p228-test/108.wav,data/converted_sound/p228/102.wav,0.7
p228,p227,data/data/p228-test/108.wav,data/converted_sound/p228/103.wav,0.67
p228,p227,data/data/p228-test/108.wav,data/converted_sound/p228/104.wav,0.06
p228,p227,data/data/p228-test/108.wav,data/converted_sound/p228/105.wav,0.74
p228,p227,data/data/p228-test/108.wav,data/converted_sound/p228/106.wav,0.61
p228,p227,data/data/p228-test/108.wav,data/converted_sound/p228/107.wav,0.41
p232,p243,data/data/p232-test/108.wav,data/converted_sound/p232/1.wav,0.91
p232,p243,data/data/p232-test/108.wav,data/converted_sound/p232/10.wav,0.63
p232,p243,data/data/p232-test/108.wav,data/converted_sound/p232/100.wav,0.48
p232,p243,data/data/p232-test/108.wav,data/converted_sound/p232/101.wav,0.23
p232,p243,data/data/p232-test/108.wav,data/converted_sound/p232/102.wav,0.47
p232,p243,data/data/p232-test/108.wav,data/converted_sound/p232/103.wav,0.69
p232,p243,data/data/p232-test/108.wav,data/converted_sound/p232/104.wav,0.65
p232,p243,data/data/p232-test/108.wav,data/converted_sound/p232/105.wav,0.3
p232,p243,data/data/p232-test/108.wav,data/converted_sound/p232/106.wav,0.89
p232,p243,data/data/p232-test/108.wav,data/converted_sound/p232/107.wav,0.32
p243,p232,data/data/p243-test/108.wav,data/converted_sound/p243/1.wav,0.45
p243,p232,data/data/p243-test/108.wav,data/converted_sound/p243/10.wav,0.14
p243,p232,data/data/p243-test/108.wav,data/converted_sound/p243/100.wav,0.35
p243,p232,data/data/p243-test/108.wav,data/converted_sound/p243/101.wav,0.22
p243,p232,data/data/p243-test/108.wav,data/converted_sound/p243/102.wav,0.69
p243,p232,data/data/p243-test/108.wav,data/converted_sound/p243/103.wav,0.12
p243,p232,data/data/p243-test/108.wav,data/converted_sound/p243/104.wav,0.94
p243,p232,data/data/p243-test/108.wav,data/converted_sound/p243/105.wav,0.85
p243,p232,data/data/p243-test/108.wav,data/converted_sound/p243/106.wav,0.54
p243,p232,data/data/p243-test/108.wav,data/converted_sound/p243/107.wav,0.28
p229,p230,data/data/p229-test/108.wav,data/converted_sound/p229/1.wav,0.97
p229,p230,data/data/p229-test/108.wav,data/converted_sound/p229/10.wav,0.55
p229,p230,data/data/p229-test/108.wav,data/converted_sound/p229/100.wav,0.55
p229,p230,data/data/p229-test/108.wav,data/converted_sound/p229/101.wav,0.89
p229,p230,data/data/p229-test/108.wav,data/converted_sound/p229/102.wav,0.5
p229,p230,data/data/p229-test/108.wav,data/converted_sound/p229/103.wav,0.48
p229,p230,data/data/p229-test/108.wav,data/converted_sound/p229/104.wav,0.1
p229,p230,data/data/p229-test/108.wav,data/converted_sound/p229/105.wav,0.1
p229,p230,data/data/p229-test/108.wav,data/converted_sound/p229/106.wav,0.63
p229,p230,data/data/p229-test/108.wav,data/converted_sound/p229/107.wav,0.35
p230,p229,data/data/p230-test/108.wav,data/converted_sound/p230/1.wav,0.53
p230,p229,data/data/p230-test/108.wav,data/converted_sound/p230/10.wav,0.2
p230,p229,data/data/p230-test/108.wav,data/converted_sound/p230/100.wav,0.9
p230,p229,data/data/p230-test/108.wav,data/converted_sound/p230/101.wav,0.36
p230,p229,data/data/p230-test/108.wav,data/converted_sound/p230/102.wav,0.74
p230,p229,data/data/p230-test/108.wav,data/converted_sound/p230/103.wav,0.43
p230,p229,data/data/p230-test/108.wav,data/converted_sound/p230/104.wav,0.34
p230,p229,data/data/p230-test/108.wav,data/converted_sound/p230/105.wav,0.01
p230,p229,data/data/p230-test/108.wav,data/converted_sound/p230/106.wav,0.52
p230,p229,data/data/p230-test/108.wav,data/converted_sound/p230/107.wav,0.93
p231,p233,data/data/p231-test/108.wav,data/converted_sound/p231/1.wav,0.94
p231,p233,data/data/p231-test/108.wav,data/converted_sound/p231/10.wav,0.55
p231,p233,data/data/p231-test/108.wav,data/converted_sound/p231/100.wav,0.48
p231,p233,data/data/p231-test/108.wav,data/converted_sound/p231/101.wav,0.44
p231,p233,data/data/p231-test/108.wav,data/converted_sound/p231/102.wav,0.07
p231,p233,data/data/p231-test/108.wav,data/converted_sound/p231/103.wav,0.51
p231,p233,data/data/p231-test/108.wav,data/converted_sound/p231/104.wav,0.25
p231,p233,data/data/p231-test/108.wav,data/converted_sound/p231/105.wav,0.29
p231,p233,data/data/p231-test/108.wav,data/converted_sound/p231/106.wav,0.54
p231,p233,data/data/p231-test/108.wav,data/converted_sound/p231/107.wav,0.38
p233,p231,data/data/p233-test/108.wav,data/converted_sound/p233/1.wav,0.82
p233,p231,data/data/p233-test/108.wav,data/converted_sound/p233/10.wav,0.05
p233,p231,data/data/p233-test/108.wav,data/converted_sound/p233/100.wav,0.57
p233,p231,data/data/p233-test/108.wav,data/converted_sound/p233/101.wav,0.66
